Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2011,22,CHC,NL,37,62,60,3,15,2,0,0,4,0,0,1,12,.250,.262,.283,.546,50,17,2,0,1,0,0,4H5/3,,-9999
2012,23,COL,NL,81,247,229,26,68,12,4,2,22,1,2,13,42,.297,.332,.410,.742,88,94,8,0,3,2,4,4/5H63,,-9999
2013,24,COL,NL,109,434,404,39,113,21,3,2,28,18,7,19,67,.280,.311,.361,.673,74,146,13,1,7,3,2,45H/36,,-9999
2014,25,COL,NL,149,538,494,59,132,15,5,5,42,10,10,33,97,.267,.315,.348,.663,75,172,13,2,7,2,7,*4/53H6,GG,-9999
2015,26,COL,NL,150,620,564,85,170,21,5,6,61,23,3,50,107,.301,.358,.388,.746,92,219,20,1,3,2,4,*4/H,AS,-9999
2016,27,COL,NL,146,635,552,104,192,32,8,11,66,11,7,66,80,.348,.416,.495,.911,128,273,19,3,8,6,2,*4/H,MVP-15,-9999
2017,28,COL,NL,155,682,609,95,189,28,4,8,64,6,5,59,90,.310,.374,.409,.783,93,249,24,6,3,5,1,*4/H,ASGG,-9999
2018,29,COL,NL,128,581,533,90,147,32,2,15,62,6,5,37,82,.276,.321,.428,.749,88,228,14,2,2,7,0,*4/H,GG,-9999
2019,30,NYY,AL,145,655,602,109,197,33,2,26,102,5,2,46,90,.327,.375,.518,.893,136,312,14,2,1,4,0,453/HD,ASMVP-4SS,-9999
2020,31,NYY,AL,50,216,195,41,71,10,2,10,27,3,0,18,21,.364,.421,.590,1.011,178,115,3,2,0,1,0,435/HD,MVP-3SS,-9999
2021,32,NYY,AL,150,679,597,84,160,24,1,10,57,4,2,73,94,.268,.349,.362,.711,97,216,16,4,0,5,2,435/HD,,-9999
2022,33,NYY,AL,125,541,467,74,122,18,0,12,46,4,3,67,71,.261,.357,.377,.734,111,176,12,4,1,2,0,543/HD,GG,-9999
2023,34,NYY,AL,110,445,396,42,96,18,2,12,34,0,2,44,101,.242,.321,.389,.710,95,154,8,3,0,2,2,53/4HD,,-9999
13 Yrs,13 Yrs,13 Yrs,13 Yrs,1535,6335,5702,851,1672,266,38,119,615,91,48,526,954,.293,.354,.416,.770,102,2371,166,30,36,41,24,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,669,602,90,176,28,4,13,65,10,5,56,101,.293,.354,.416,.770,102,250,18,3,4,4,3,,,
