Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2012,19,WSN,NL,139,597,533,98,144,26,9,22,59,18,6,56,120,.270,.340,.477,.817,118,254,8,2,3,3,0,*89/7H,ASMVP-30RoY-1,-9999
2013,20,WSN,NL,118,497,424,71,116,24,3,20,58,11,4,61,94,.274,.368,.486,.854,133,206,4,5,3,4,4,*79/8H,AS,-9999
2014,21,WSN,NL,100,395,352,41,96,10,2,13,32,2,2,38,104,.273,.344,.423,.768,111,149,6,1,3,1,4,79/8H,,-9999
2015,22,WSN,NL,153,654,521,118,172,38,1,42,99,6,4,124,131,.330,.460,.649,1.109,198,338,15,5,0,4,15,*98/D,ASMVP-1SS,-9999
2016,23,WSN,NL,147,627,506,84,123,24,2,24,86,21,10,108,117,.243,.373,.441,.814,114,223,11,3,0,10,20,*9/H,AS,-9999
2017,24,WSN,NL,111,492,420,95,134,27,1,29,87,4,2,68,99,.319,.413,.595,1.008,156,250,15,1,0,3,11,*9/H,ASMVP-12,-9999
2018,25,WSN,NL,159,695,550,103,137,34,0,34,100,13,3,130,169,.249,.393,.496,.889,133,273,7,6,0,9,16,*98/H3D,AS,-9999
2019,26,PHI,NL,157,682,573,98,149,36,1,35,114,15,3,99,178,.260,.372,.510,.882,126,292,10,6,0,4,11,*9/HD,,-9999
2020,27,PHI,NL,58,244,190,41,51,9,2,13,33,8,2,49,43,.268,.420,.542,.962,158,103,5,2,1,2,8,*9D/8,,-9999
2021,28,PHI,NL,141,599,488,101,151,42,1,35,84,13,3,100,134,.309,.429,.615,1.044,179,300,12,5,2,4,14,*9/D3,MVP-1SS,-9999
2022,29,PHI,NL,99,426,370,63,106,28,1,18,65,11,4,46,87,.286,.364,.514,.877,146,190,13,3,0,7,9,D/9H,AS,-9999
2023,30,PHI,NL,98,428,366,65,113,25,1,14,53,7,3,55,95,.309,.402,.497,.899,146,182,8,4,0,3,6,D3/H,,-9999
12 Yrs,12 Yrs,12 Yrs,12 Yrs,1480,6336,5293,978,1492,323,24,299,870,129,46,934,1371,.282,.390,.521,.912,143,2760,114,43,12,54,118,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,694,579,107,163,35,3,33,95,14,5,102,150,.282,.390,.521,.912,143,302,12,5,1,6,13,,,
