Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2014,22,LAD,NL,18,38,28,1,4,0,0,0,0,0,0,9,11,.143,.351,.143,.494,48,4,1,0,1,0,0,H/897,,-9999
2015,23,LAD,NL,151,585,480,67,101,19,1,26,54,4,7,92,170,.210,.346,.417,.763,113,200,5,9,2,2,6,*8H,ASRoY-6,-9999
2016,24,LAD,NL,137,476,406,64,100,26,0,25,68,6,2,63,130,.246,.352,.495,.847,126,201,5,4,1,2,4,*8H,,-9999
2017,25,LAD,NL,102,323,273,44,58,20,0,11,35,4,3,39,68,.212,.331,.407,.738,96,111,7,10,0,1,1,8H/7,,-9999
2018,26,LAD,NL,148,443,395,65,98,27,3,25,56,1,5,40,85,.248,.321,.522,.843,125,206,6,4,1,3,3,*7H8/9,,-9999
2019,27,LAD,NL,149,514,450,83,112,16,3,36,74,1,1,50,111,.249,.339,.538,.876,126,242,4,12,0,2,2,*79H3/8D,,-9999
2020,28,LAD,NL,43,138,121,21,23,4,0,7,16,1,0,11,34,.190,.285,.397,.681,83,48,5,5,0,0,0,7D/9H,,-9999
2021,29,TOT,NL,137,481,429,55,102,19,3,18,61,2,3,39,117,.238,.310,.422,.732,95,181,9,8,0,5,0,*798H/3D,,-9999
2021,29,CHC,NL,73,287,256,35,59,11,2,11,39,2,3,22,74,.230,.300,.418,.718,92,107,5,5,0,4,0,7/H983D,,-9999
2021,29,ATL,NL,64,194,173,20,43,8,1,7,22,0,0,17,43,.249,.325,.428,.752,98,74,4,3,0,1,0,98H,,-9999
2022,30,SFG,NL,134,433,380,57,104,19,3,23,70,3,2,42,100,.274,.353,.521,.874,146,198,5,7,0,4,3,*7H9D,AS,-9999
2023,31,SFG,NL,96,336,281,48,68,10,3,12,43,0,0,46,68,.242,.357,.427,.784,116,120,10,6,0,3,4,D7H/93,,-9999
10 Yrs,10 Yrs,10 Yrs,10 Yrs,1115,3767,3243,505,770,160,16,183,477,22,23,431,894,.237,.337,.466,.803,116,1511,57,65,5,22,23,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,547,471,73,112,23,2,27,69,3,3,63,130,.237,.337,.466,.803,116,220,8,9,1,3,3,,,
