Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2018,21,SDP,NL,12,53,48,5,10,1,0,2,5,1,0,3,10,.208,.264,.354,.618,71,17,0,1,0,1,0,4,,-9999
2019,22,SDP,NL,71,249,215,27,48,8,1,4,24,0,1,25,56,.223,.329,.326,.655,77,70,8,9,0,0,0,64/H5,,-9999
2020,23,MIL,NL,41,120,109,11,26,4,1,0,11,2,2,10,32,.239,.308,.294,.602,63,32,4,1,0,0,0,54/6H,,-9999
2021,24,MIL,NL,150,570,490,77,122,25,1,23,75,5,1,63,116,.249,.345,.445,.789,112,218,9,10,1,3,3,564H,,-9999
2022,25,MIL,NL,119,472,406,54,97,17,1,16,47,1,2,50,99,.239,.335,.404,.739,108,164,9,11,0,5,0,546/H,,-9999
2023,26,TOT,MLB,37,130,105,12,19,4,0,3,16,0,0,16,27,.181,.328,.305,.633,74,32,3,7,0,0,0,45/H,,-9999
2023,26,MIL,NL,20,68,55,5,8,2,0,1,5,0,0,7,15,.145,.299,.236,.535,50,13,1,5,0,0,0,45/H,,-9999
2023,26,BOS,AL,17,62,50,7,11,2,0,2,11,0,0,9,12,.220,.361,.380,.741,101,19,2,2,0,0,0,4/5,,-9999
6 Yrs,6 Yrs,6 Yrs,6 Yrs,430,1594,1373,186,322,59,4,48,178,9,6,167,340,.235,.332,.388,.721,97,533,33,39,1,9,3,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,601,517,70,121,22,2,18,67,3,2,63,128,.235,.332,.388,.721,97,201,12,15,0,3,1,,,
