Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2014,21,BOS,AL,52,213,189,34,55,12,1,5,18,7,3,21,31,.291,.368,.444,.812,126,84,2,2,1,0,0,849/H,,-9999
2015,22,BOS,AL,145,654,597,92,174,42,8,18,77,21,6,46,82,.291,.341,.479,.820,117,286,2,2,3,6,1,*89/HD,MVP-19,-9999
2016,23,BOS,AL,158,730,672,122,214,42,5,31,113,26,4,49,80,.318,.363,.534,.897,133,359,12,2,0,7,1,*9/H,ASMVP-2GGSS,-9999
2017,24,BOS,AL,153,712,628,101,166,46,2,24,102,26,3,77,79,.264,.344,.459,.803,108,288,9,2,0,5,9,*9,ASMVP-6GG,-9999
2018,25,BOS,AL,136,614,520,129,180,47,5,32,80,30,6,81,91,.346,.438,.640,1.078,186,333,5,8,0,5,8,*98/HD4,ASMVP-1GGSS,-9999
2019,26,BOS,AL,150,706,597,135,176,40,5,29,80,16,3,97,101,.295,.391,.524,.915,134,313,11,3,0,9,6,*98/DH,ASMVP-8GGSS,-9999
2020,27,LAD,NL,55,246,219,47,64,9,1,16,39,10,2,24,38,.292,.366,.562,.927,147,123,2,2,0,1,1,*9/D48,MVP-2GGSS,-9999
2021,28,LAD,NL,122,550,466,93,123,29,3,23,58,10,5,68,86,.264,.367,.487,.854,126,227,5,11,0,5,2,*98/4H,AS,-9999
2022,29,LAD,NL,142,639,572,117,154,40,3,35,82,12,2,55,104,.269,.340,.533,.873,140,305,8,8,0,4,0,*9/4HD,ASMVP-5GGSS,-9999
2023,30,LAD,NL,117,538,457,101,136,32,1,34,86,8,3,70,86,.298,.394,.595,.989,163,272,5,6,0,5,3,*946/H,AS,-9999
10 Yrs,10 Yrs,10 Yrs,10 Yrs,1230,5602,4917,971,1442,339,34,247,735,166,37,588,778,.293,.371,.527,.898,137,2590,61,46,4,47,31,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,738,648,128,190,45,4,33,97,22,5,77,102,.293,.371,.527,.898,137,341,8,6,1,6,4,,,
