Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2011,24,COL,NL,27,102,98,9,25,1,0,1,8,5,1,3,8,.255,.277,.296,.573,47,29,2,0,1,0,1,7/8H,,-9999
2012,25,COL,NL,42,121,113,15,32,8,0,2,9,1,2,4,17,.283,.325,.407,.732,85,46,4,3,1,0,0,97H/8,,-9999
2013,26,COL,NL,82,258,246,35,76,17,2,6,22,7,0,7,49,.309,.336,.467,.803,106,115,1,3,2,0,0,987H,,-9999
2014,27,COL,NL,154,648,593,82,171,27,3,19,72,28,10,31,96,.288,.335,.440,.775,103,261,3,13,6,5,5,*987H,AS,-9999
2015,28,COL,NL,157,682,614,93,176,31,9,17,58,43,13,46,112,.287,.347,.450,.797,102,276,4,13,5,4,2,*87/9H,,-9999
2016,29,COL,NL,143,641,578,111,187,35,5,29,82,17,9,43,102,.324,.381,.552,.933,130,319,2,13,3,4,4,*8/H,MVP-26SS,-9999
2017,30,COL,NL,159,725,644,137,213,35,14,37,104,14,10,65,135,.331,.399,.601,1.000,141,387,4,10,3,3,9,*8/H,ASMVP-5SS,-9999
2018,31,COL,NL,156,696,626,119,182,31,7,29,70,12,4,59,134,.291,.358,.502,.860,115,314,10,8,1,2,2,*8/HD,AS,-9999
2019,32,COL,NL,140,634,580,112,182,42,7,32,86,2,5,40,104,.314,.364,.576,.940,125,334,11,9,0,5,1,*9/HD,AS,-9999
2020,33,COL,NL,59,247,221,31,67,12,1,6,42,2,1,19,44,.303,.356,.448,.804,104,99,4,2,0,5,4,*9/D,,-9999
2021,34,COL,NL,150,582,514,76,139,25,4,13,78,3,0,54,91,.270,.351,.411,.761,95,211,8,11,0,3,1,*9H/D,,-9999
2022,35,COL,NL,135,577,530,60,140,22,6,16,78,4,1,32,109,.264,.314,.419,.733,95,222,10,8,4,3,4,D9/H,,-9999
2023,36,COL,NL,76,330,282,48,80,16,4,7,36,1,1,34,41,.284,.376,.443,.819,111,125,5,10,0,4,0,D9/H,,-9999
13 Yrs,13 Yrs,13 Yrs,13 Yrs,1480,6243,5639,928,1670,302,62,214,745,139,57,437,1042,.296,.355,.486,.841,112,2738,68,103,26,38,33,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,683,617,102,183,33,7,23,82,15,6,48,114,.296,.355,.486,.841,112,300,7,11,3,4,4,,,
