Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2015,23,CHC,NL,151,650,559,87,154,31,5,26,99,13,4,77,199,.275,.369,.488,.858,135,273,7,9,0,5,0,*5/789H3D,ASMVP-11RoY-1,-9999
2016,24,CHC,NL,155,699,603,121,176,35,3,39,102,8,5,75,154,.292,.385,.554,.939,146,334,3,18,0,3,5,579/38D6,ASMVP-1,-9999
2017,25,CHC,NL,151,665,549,111,162,38,4,29,73,7,5,95,128,.295,.409,.537,.946,142,295,8,15,0,6,5,*5/9387H,MVP-7,-9999
2018,26,CHC,NL,102,457,389,59,106,28,3,13,52,2,4,48,107,.272,.374,.460,.834,121,179,5,17,0,3,6,597/3H,,-9999
2019,27,CHC,NL,147,634,543,108,153,35,1,31,77,4,0,74,145,.282,.382,.521,.903,132,283,10,15,0,2,1,*597/3DH,AS,-9999
2020,28,CHC,NL,34,147,131,20,27,5,1,4,11,0,0,12,40,.206,.293,.351,.644,73,46,1,4,0,0,0,5/7D3,,-9999
2021,29,TOT,NL,144,586,513,86,136,32,2,25,73,10,2,62,135,.265,.353,.481,.835,124,247,9,9,0,2,4,57983/H6,AS,-9999
2021,29,CHC,NL,93,374,326,58,87,19,2,18,51,4,2,39,89,.267,.358,.503,.861,130,164,6,8,0,1,1,57983/H6,,-9999
2021,29,SFG,NL,51,212,187,28,49,13,0,7,22,6,0,23,46,.262,.344,.444,.788,113,83,3,1,0,1,3,579/8H,,-9999
2022,30,COL,NL,42,181,160,28,49,12,0,5,14,0,0,17,27,.306,.376,.475,.851,127,76,7,2,0,2,0,7D,,-9999
2023,31,COL,NL,65,275,243,27,61,7,0,8,23,0,0,26,48,.251,.338,.379,.717,86,92,4,6,0,0,0,9D/7,,-9999
9 Yrs,9 Yrs,9 Yrs,9 Yrs,991,4294,3690,647,1024,223,19,180,524,44,20,486,983,.278,.374,.495,.868,129,1825,54,95,0,23,21,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,702,603,106,167,36,3,29,86,7,3,79,161,.278,.374,.495,.868,129,298,9,16,0,4,3,,,
