Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2015,21,CLE,AL,99,438,390,50,122,22,4,12,51,12,2,27,69,.313,.353,.482,.835,121,188,12,1,13,7,0,6/HD,RoY-2,-9999
2016,22,CLE,AL,158,684,604,99,182,30,3,15,78,19,5,57,88,.301,.358,.435,.794,106,263,18,5,3,15,3,*6/HD,ASMVP-9GG,-9999
2017,23,CLE,AL,159,723,651,99,178,44,4,33,89,15,3,60,93,.273,.337,.505,.842,116,329,11,4,5,3,6,*6/D,ASMVP-5SS,-9999
2018,24,CLE,AL,158,745,661,129,183,42,2,38,92,25,10,70,107,.277,.352,.519,.871,132,343,5,8,3,3,7,*6/D,ASMVP-6SS,-9999
2019,25,CLE,AL,143,654,598,101,170,40,2,32,74,22,5,46,98,.284,.335,.518,.854,118,310,13,3,1,6,9,*6/DH,ASMVP-15GG,-9999
2020,26,CLE,AL,60,266,236,30,61,13,0,8,27,6,2,24,41,.258,.335,.415,.750,104,98,8,4,0,2,2,*6/D,,-9999
2021,27,NYM,NL,125,524,452,73,104,16,3,20,63,10,4,58,96,.230,.322,.412,.734,100,186,7,5,6,3,4,*6/H,,-9999
2022,28,NYM,NL,161,706,630,98,170,25,5,26,107,16,6,59,133,.270,.339,.449,.788,125,283,11,10,0,7,2,*6/D,MVP-9,-9999
2023,29,NYM,NL,132,568,499,85,125,29,2,24,79,24,2,54,119,.251,.333,.461,.794,118,230,8,10,0,5,0,*6/DH,,-9999
9 Yrs,9 Yrs,9 Yrs,9 Yrs,1195,5308,4721,764,1295,261,25,208,660,149,39,455,844,.274,.341,.472,.813,117,2230,93,50,31,51,33,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,720,640,104,176,35,3,28,89,20,5,62,114,.274,.341,.472,.813,117,302,13,7,4,7,4,,,
