Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2016,24,SDP,NL,11,36,35,8,13,3,0,4,14,0,0,1,5,.371,.389,.800,1.189,213,28,1,0,0,0,1,/9H,,-9999
2017,25,SDP,NL,122,479,445,51,103,25,1,26,58,3,0,27,140,.231,.284,.467,.751,96,208,4,6,0,1,1,*9/HD,,-9999
2018,26,SDP,NL,117,441,403,53,100,23,1,26,68,2,1,30,109,.248,.302,.504,.805,120,203,9,3,0,5,2,79H/D,,-9999
2019,27,SDP,NL,140,494,440,64,95,19,1,33,64,5,0,46,154,.216,.289,.489,.778,103,215,6,2,0,6,1,*97H/8,,-9999
2020,28,TBR,AL,42,139,122,18,19,5,0,8,22,2,0,14,37,.156,.252,.393,.645,79,48,3,2,0,1,0,9/H3D,,-9999
2021,29,BOS,AL,144,572,521,89,135,33,0,31,96,1,2,44,130,.259,.315,.501,.816,114,261,6,1,0,6,0,*9/8HD,,-9999
2022,30,MIL,NL,125,522,474,62,121,23,1,29,72,1,1,39,121,.255,.315,.492,.807,124,233,11,4,2,3,1,*9/D3,,-9999
2023,31,TOT,MLB,131,519,472,57,113,31,0,19,58,0,0,41,114,.239,.303,.426,.728,94,201,15,3,0,3,0,*9H/3D,,-9999
2023,31,LAA,AL,126,504,459,56,111,31,0,19,56,0,0,39,113,.242,.304,.434,.737,96,199,15,3,0,3,0,*9/H3,,-9999
2023,31,CIN,NL,5,15,13,1,2,0,0,0,2,0,0,2,1,.154,.267,.154,.421,17,2,0,0,0,0,0,/9HD,,-9999
8 Yrs,8 Yrs,8 Yrs,8 Yrs,832,3202,2912,402,699,162,4,176,452,14,4,242,810,.240,.301,.480,.780,108,1397,55,21,2,25,6,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,623,567,78,136,32,1,34,88,3,1,47,158,.240,.301,.480,.780,108,272,11,4,0,5,1,,,
