 
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2011,19,LAA,AL,40,135,123,20,27,6,0,5,16,4,0,9,30,.220,.281,.390,.672,89,48,2,2,0,1,0,897/HD,,-9999
2012,20,LAA,AL,139,639,559,129,182,27,8,30,83,49,5,67,139,.326,.399,.564,.963,168,315,7,6,0,7,4,*87/9H,ASMVP-2RoY-1SS,-9999
2013,21,LAA,AL,157,716,589,109,190,39,9,27,97,33,7,110,136,.323,.432,.557,.988,179,328,8,9,0,8,10,*87/D,ASMVP-2SS,-9999
2014,22,LAA,AL,157,705,602,115,173,39,9,36,111,16,2,83,184,.287,.377,.561,.939,169,338,6,10,0,10,6,*8/D,ASMVP-1SS,-9999
2015,23,LAA,AL,159,682,575,104,172,32,6,41,90,11,7,92,158,.299,.402,.590,.991,176,339,11,10,0,5,14,*8/D,ASMVP-2SS,-9999
2016,24,LAA,AL,159,681,549,123,173,32,5,29,100,30,7,116,137,.315,.441,.550,.991,173,302,5,11,0,5,12,*8D/H,ASMVP-1SS,-9999
2017,25,LAA,AL,114,507,402,92,123,25,3,33,72,22,4,94,90,.306,.442,.629,1.071,186,253,8,7,0,4,15,8/D,ASMVP-4,-9999
2018,26,LAA,AL,140,608,471,101,147,24,4,39,79,24,2,122,124,.312,.460,.628,1.088,198,296,5,10,0,4,25,*8D/H,ASMVP-2SS,-9999
2019,27,LAA,AL,134,600,470,110,137,27,2,45,104,11,2,110,120,.291,.438,.645,1.083,182,303,5,16,0,4,14,*8D/H,ASMVP-1SS,-9999
2020,28,LAA,AL,53,241,199,41,56,9,2,17,46,1,1,35,56,.281,.390,.603,.993,167,120,1,3,0,4,4,*8/D,MVP-5SS,-9999
2021,29,LAA,AL,36,146,117,23,39,8,1,8,18,2,0,27,41,.333,.466,.624,1.090,194,73,0,2,0,0,5,8,AS,-9999
2022,30,LAA,AL,119,499,438,85,124,28,2,40,80,1,0,54,139,.283,.369,.630,.999,175,276,6,6,0,1,8,*8/DH,ASMVP-8SS,-9999
2023,31,LAA,AL,81,358,304,54,80,14,1,18,44,2,0,45,103,.263,.369,.493,.862,132,150,3,7,0,2,2,8/DH,AS,-9999
13 Yrs,13 Yrs,13 Yrs,13 Yrs,1488,6517,5398,1106,1623,310,52,368,940,206,37,964,1457,.301,.412,.582,.994,173,3141,67,99,0,55,119,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,710,588,120,177,34,6,40,102,22,4,105,159,.301,.412,.582,.994,173,342,7,11,0,6,13,,,
