Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2014,23,BOS,AL,55,201,175,15,42,9,0,1,20,0,0,19,33,.240,.308,.309,.617,73,54,4,0,3,4,1,2/DH,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
2016,25,BOS,AL,57,184,172,21,39,9,1,1,12,0,0,10,39,.227,.277,.308,.585,55,53,3,2,0,0,1,2/HD,,-9999
2017,26,BOS,AL,99,345,324,43,94,18,2,5,32,7,2,17,64,.290,.330,.404,.735,92,131,14,3,0,1,0,2/5DH,,-9999
2018,27,BOS,AL,80,269,251,24,52,10,0,3,16,4,1,13,41,.207,.257,.283,.540,46,71,5,4,1,0,1,2/H5D,,-9999
2019,28,BOS,AL,138,521,482,66,133,26,1,23,72,4,2,33,101,.276,.320,.477,.798,103,230,17,0,3,3,3,*2HD3/54,,-9999
2020,29,BOS,AL,47,189,173,22,49,9,0,7,23,4,3,16,43,.283,.344,.457,.801,111,79,6,0,0,0,0,*2/D4H,,-9999
2021,30,BOS,AL,138,498,458,51,118,23,1,6,49,8,4,33,84,.258,.308,.352,.659,77,161,15,2,1,4,0,*2/HD453,,-9999
2022,31,TOT,AL,119,426,398,41,109,23,0,9,52,1,4,22,69,.274,.315,.399,.714,99,159,10,3,0,3,0,2H/34D,,-9999
2022,31,BOS,AL,84,318,294,33,83,20,0,8,42,1,2,18,51,.282,.327,.432,.759,109,127,7,3,0,3,0,2/3H4,,-9999
2022,31,HOU,AL,35,108,104,8,26,3,0,1,10,0,2,4,18,.250,.278,.308,.585,68,32,3,0,0,0,0,2/HD,,-9999
2023,32,MIN,AL,88,304,279,30,62,11,0,6,28,0,0,22,66,.222,.281,.326,.607,66,91,9,1,1,1,1,2/3H4,,-9999
9 Yrs,9 Yrs,9 Yrs,9 Yrs,821,2937,2712,313,698,138,5,61,304,28,16,185,540,.257,.307,.379,.686,83,1029,83,15,9,16,7,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,580,535,62,138,27,1,12,60,6,3,37,107,.257,.307,.379,.686,83,203,16,3,2,3,1,,,
