Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2013,20,BOS,AL,18,50,44,7,11,2,0,1,5,1,0,5,13,.250,.320,.364,.684,87,16,1,0,0,1,0,/56H,,-9999
2014,21,BOS,AL,144,594,538,60,129,28,1,12,46,2,3,39,138,.240,.297,.362,.660,84,195,11,8,2,7,1,65/H,,-9999
2015,22,BOS,AL,156,654,613,84,196,35,3,7,81,10,2,32,101,.320,.355,.421,.776,107,258,16,3,3,3,1,*6/H,SS,-9999
2016,23,BOS,AL,157,719,652,115,192,34,1,21,89,13,4,58,123,.294,.356,.446,.802,111,291,14,6,0,3,0,*6,ASSS,-9999
2017,24,BOS,AL,148,635,571,94,156,32,6,10,62,15,1,56,116,.273,.343,.403,.746,95,230,17,6,0,2,6,*6/H,,-9999
2018,25,BOS,AL,136,580,513,72,148,45,3,23,103,8,2,55,102,.288,.360,.522,.883,135,268,14,6,0,6,4,*6/H,MVP-13,-9999
2019,26,BOS,AL,155,698,614,110,190,52,0,33,117,4,2,76,122,.309,.384,.555,.939,139,341,11,2,0,6,2,*6/DH,ASMVP-5SS,-9999
2020,27,BOS,AL,56,225,203,36,61,8,0,11,28,8,0,21,41,.300,.364,.502,.867,128,102,3,0,0,1,2,*6/HD,MVP-17,-9999
2021,28,BOS,AL,144,603,529,90,156,34,1,23,79,5,1,62,113,.295,.370,.493,.863,129,261,13,5,0,7,2,*6/DH,ASMVP-12SS,-9999
2022,29,BOS,AL,150,631,557,84,171,38,0,15,73,8,2,57,118,.307,.377,.456,.833,131,254,14,10,0,7,2,*6/DH,ASMVP-9SS,-9999
2023,30,SDP,NL,127,542,486,58,125,20,0,15,45,13,1,48,93,.257,.328,.391,.719,102,190,19,5,0,3,0,*6/DH,,-9999
11 Yrs,11 Yrs,11 Yrs,11 Yrs,1391,5931,5320,810,1535,328,15,171,728,87,18,509,1080,.289,.354,.452,.806,115,2406,133,51,5,46,20,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,691,620,94,179,38,2,20,85,10,2,59,126,.289,.354,.452,.806,115,280,15,6,1,5,2,,,
