Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2012,22,TOT,MLB,45,166,151,19,39,4,3,0,14,7,1,13,23,.258,.315,.325,.640,72,49,1,0,1,1,3,6/H,,-9999
2012,22,LAA,AL,1,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/6,,-9999
2012,22,MIL,NL,44,163,148,19,39,4,3,0,14,7,1,13,21,.264,.321,.331,.652,75,49,1,0,1,1,3,6/H,,-9999
2013,23,MIL,NL,146,623,588,74,173,20,10,12,49,44,13,25,84,.294,.329,.423,.752,105,249,17,6,2,2,1,*6/H,AS,-9999
2014,24,MIL,NL,146,557,513,61,126,14,6,5,31,20,9,28,70,.246,.289,.326,.614,70,167,13,4,10,2,5,*6/H,,-9999
2015,25,MIL,NL,142,584,560,57,144,16,5,6,50,25,6,13,93,.257,.281,.336,.616,68,188,14,6,3,2,2,*6/H,,-9999
2016,26,ARI,NL,153,694,637,102,203,41,7,20,64,33,10,39,101,.319,.368,.499,.867,122,318,6,12,4,2,1,*46/H,MVP-13,-9999
2017,27,SEA,AL,125,566,524,80,157,30,2,11,45,22,8,34,83,.300,.349,.427,.776,111,224,14,6,0,1,3,*6/H,,-9999
2018,28,SEA,AL,144,632,586,91,178,29,3,10,63,20,11,32,69,.304,.341,.415,.755,112,243,17,4,4,6,2,*6,AS,-9999
2019,29,PHI,NL,144,618,576,79,161,37,4,12,60,10,2,30,73,.280,.323,.420,.743,91,242,11,8,1,3,1,*6/H,,-9999
2020,30,PHI,NL,54,217,192,28,51,5,2,7,25,2,2,23,45,.266,.347,.422,.769,107,81,6,1,1,0,2,45/6D,,-9999
2021,31,PHI,NL,131,567,514,76,149,27,3,14,58,9,3,39,78,.290,.348,.436,.784,111,224,16,9,1,4,3,*4/H6,,-9999
2022,32,PHI,NL,98,387,354,45,98,9,0,10,33,13,6,25,58,.277,.336,.387,.723,105,137,16,7,0,1,1,4/H6,,-9999
2023,33,MIA,NL,85,326,301,25,66,5,2,3,21,6,2,22,47,.219,.277,.279,.556,54,84,12,2,1,0,1,5/H,,-9999
12 Yrs,12 Yrs,12 Yrs,12 Yrs,1413,5937,5496,737,1545,237,47,110,513,211,73,323,824,.281,.327,.401,.729,97,2206,143,65,28,24,25,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,681,630,84,177,27,5,13,59,24,8,37,94,.281,.327,.401,.729,97,253,16,7,3,3,3,,,
