Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2015,22,WSN,NL,27,44,40,5,9,1,0,1,1,2,2,4,12,.225,.295,.325,.620,69,13,0,0,0,0,0,H4/6,,-9999
2016,23,WSN,NL,73,324,307,53,105,14,8,13,40,33,6,14,59,.342,.370,.567,.937,142,174,1,1,0,2,0,84/6H,RoY-2,-9999
2017,24,WSN,NL,98,447,412,75,117,24,6,11,45,46,8,30,80,.284,.338,.451,.789,101,186,4,4,0,1,0,6/H,,-9999
2018,25,WSN,NL,162,740,664,103,180,27,6,19,73,43,9,69,132,.271,.344,.416,.760,100,276,7,5,2,0,3,*6/H,,-9999
2019,26,WSN,NL,122,569,521,96,155,37,5,19,57,35,5,43,113,.298,.353,.497,.850,117,259,10,3,0,2,2,*6,,-9999
2020,27,WSN,NL,59,259,233,46,78,15,4,12,41,12,4,22,36,.335,.394,.588,.982,162,137,5,2,0,2,0,*6,MVP-7,-9999
2021,28,TOT,NL,148,646,595,107,195,34,3,28,77,32,5,41,110,.328,.375,.536,.911,145,319,18,6,0,4,2,64/H,ASMVP-5,-9999
2021,28,WSN,NL,96,420,388,66,125,17,3,18,49,21,3,26,77,.322,.369,.521,.890,142,202,13,4,0,2,0,6,,-9999
2021,28,LAD,NL,52,226,207,41,70,17,0,10,28,11,2,15,33,.338,.385,.565,.950,149,117,5,2,0,2,2,4/6H,,-9999
2022,29,LAD,NL,160,708,652,101,194,39,4,21,100,27,3,45,131,.298,.343,.466,.809,124,304,9,3,0,6,1,*6,ASMVP-11SS,-9999
2023,30,PHI,NL,131,584,542,81,140,30,5,19,60,23,0,38,133,.258,.310,.437,.747,103,237,8,3,0,1,2,*6/D,,-9999
9 Yrs,9 Yrs,9 Yrs,9 Yrs,980,4321,3966,667,1173,221,41,143,494,253,42,306,806,.296,.349,.480,.829,120,1905,62,27,2,18,10,,,-9999
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,714,656,110,194,37,7,24,82,42,7,51,133,.296,.349,.480,.829,120,315,10,4,0,3,2,,,
